Array Element	Locus Identifier	Annotation
A_84_P752516	AT1G22140	similar to unnamed protein product [Vitis vinifera] (GB:CAO61756.1); contains domain PTHR12681 (PTHR12681)
A_84_P17673	AT4G37400	"CYP81F3 (cytochrome P450, family 81, subfamily F, polypeptide 3); oxygen binding"
A_84_P848914	AT4G17840	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G35260.1); similar to hypothetical protein 40.t00061 [Brassica oleracea] (GB:ABD65174.1)
A_84_P292994	AT4G12980	"auxin-responsive protein, putative"
A_84_P21655	AT5G60320	lectin protein kinase family protein
A_84_P91929	AT5G19950	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G63540.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G63540.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD67825.1); contains InterPro domain Region of unknown function DUF1767 (InterPro:IPR013894)
A_84_P232899	AT3G05810	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G26800.1); similar to unknown [Populus trichocarpa] (GB:ABK93627.1)
A_84_P20259	AT3G26170	"CYP71B19 (cytochrome P450, family 71, subfamily B, polypeptide 19); oxygen binding"
A_84_P765621	AT4G11642	pseudogene of ATOSM34 (osmotin-like protein)
A_84_P543703	AT1G78710	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31110.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO39474.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)"
A_84_P67084	AT1G25400	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G68440.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42150.1)
A_84_P806463	AT2G14890	AGP9 (ARABINOGALACTAN PROTEIN 9)
A_84_P18767	AT5G46810	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G46820.1); similar to hypothetical protein 25.t00048 [Brassica oleracea] (GB:ABD64955.1); contains InterPro domain Protein of unknown function DUF239, plant (InterPro:IPR004314)"
A_84_P100776	AT3G62050	similar to EDA32 (embryo sac development arrest 32) [Arabidopsis thaliana] (TAIR:AT3G62210.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO17351.1); contains InterPro domain Protein of unknown function DUF537 (InterPro:IPR007491)
A_84_P808375	AT3G08580	AAC1 (ADP/ATP CARRIER 1); ATP:ADP antiporter/ binding
A_84_P20291	AT3G06190	ATBPM2; protein binding
A_84_P291504	AT5G64070	phosphatidylinositol 4-kinase (PI4K)
A_84_P856904	AT4G16190	"cysteine proteinase, putative"
A_84_P16114	AT1G09350	"ATGOLS3 (ARABIDOPSIS THALIANA GALACTINOL SYNTHASE 3); transferase, transferring glycosyl groups / transferase, transferring hexosyl groups"
A_84_P825371	AT5G39990	glycosyltransferase family 14 protein / core-2/I-branching enzyme family protein
A_84_P10378	ATMG01310;AT2G07691	"[ATMG01310, hypothetical protein];[AT2G07691, Identical to Uncharacterized mitochondrial protein AtMg01310  [Arabidopsis Thaliana] (GB:P92562;GB:Q1ZXV6;GB:Q8S894); similar to unnamed protein product [Vitis vinifera] (GB:CAO46823.1)]"
A_84_P753334	AT1G33415	other RNA
A_84_P11578	AT2G47610	60S ribosomal protein L7A (RPL7aA)
A_84_P18308	AT3G07410	AtRABA5b (Arabidopsis Rab GTPase homolog A5b); GTP binding
A_84_P16211	AT1G74270	60S ribosomal protein L35a (RPL35aC)
A_84_P20017	AT1G75130	"CYP721A1 (cytochrome P450, family 721, subfamily A, polypeptide 1); oxygen binding"
A_84_P10400	AT1G69080	universal stress protein (USP) family protein
A_84_P515570	AT3G28850	glutaredoxin family protein
A_84_P855600	AT1G70620	cyclin-related
A_84_P813219	AT3G54810	BME3/BME3-ZF (BLUE MICROPYLAR END3); transcription factor
A_84_P786422	AT3G63060	EDL3 (EID1-LIKE 3)
A_84_P836686	AT5G47150	YDG/SRA domain-containing protein
A_84_P754667	AT1G31490;AT1G31485	"[AT1G31490, transferase family protein];[AT1G31485, other RNA]"
A_84_P13409	AT1G17090	unknown protein
A_84_P852047	AT5G05440	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38310.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48777.1); contains InterPro domain Bet v I allergen; (InterPro:IPR000916); contains InterPro domain Streptomyces cyclase/dehydrase (InterPro:IPR005031)
A_84_P84809	AT4G17550;AT4G17540	"[AT4G17550, transporter-related];[AT4G17540, similar to hypothetical protein OsI_033497 [Oryza sativa (indica cultivar-group)] (GB:EAY79538.1); similar to Os10g0563400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065401.1)]"
A_84_P18541	AT4G18360	"(S)-2-hydroxy-acid oxidase, peroxisomal, putative / glycolate oxidase, putative / short chain alpha-hydroxy acid oxidase, putative"
A_84_P760274	AT3G22955	transposable element gene
A_84_P193874	AT1G73790	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G09550.1); similar to unknown [Populus trichocarpa] (GB:ABK92804.1)
A_84_P72294	AT5G11610	exostosin family protein
A_84_P13662	AT3G18620	zinc finger (DHHC type) family protein
A_84_P769714	ATCG00920;ATCG01210	"[ATCG00920, chloroplast-encoded 16S ribosomal RNA];[ATCG01210, chloroplast-encoded 16S ribosomal RNA]"
A_84_P250505	AT5G46780	VQ motif-containing protein
A_84_P545080	AT5G14510	armadillo/beta-catenin repeat family protein
A_84_P10954	AT1G06050	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G10750.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO64823.1); contains InterPro domain Protein of unknown function DUF1336 (InterPro:IPR009769)
A_84_P159085	AT3G54580	proline-rich extensin-like family protein
A_84_P858522	AT3G06580	GAL1 (GALACTOSE KINASE 1); ATP binding / galactokinase
A_84_P11745	AT3G29200	CM1 (chorismate mutase 1); chorismate mutase
A_84_P10507	AT1G53310	ATPPC1 (PHOSPHOENOLPYRUVATE CARBOXYLASE 1); phosphoenolpyruvate carboxylase
A_84_P854829	AT3G11560;AT3G11570	"[AT3G11560, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06220.1); similar to hypothetical protein OsJ_026592 [Oryza sativa (japonica cultivar-group)] (GB:EAZ43109.1); similar to hypothetical protein OsI_028617 [Oryza sativa (indica cultivar-group)] (GB:EAZ07385.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:BAD09288.1); contains InterPro domain LETM1-like (InterPro:IPR011685)];[AT3G11570, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06230.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN61015.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)]"
A_84_P21504	AT5G06290	"2-cys peroxiredoxin, chloroplast, putative"
A_84_P856554	AT4G06701	other RNA
A_84_P752549	AT1G45474	LHCA5 (Photosystem I light harvesting complex gene 5)
A_84_P832763	AT5G07120	phox (PX) domain-containing protein
A_84_P580530	AT4G37860	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G22720.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G22720.3); similar to unnamed protein product [Vitis vinifera] (GB:CAO41059.1); contains InterPro domain Chromatin SPT2 (InterPro:IPR013256)
A_84_P15841	AT5G10060	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65180.1); similar to 4D11_9 [Brassica rapa subsp. pekinensis] (GB:AAZ67523.1); contains InterPro domain ENTH/VHS (InterPro:IPR008942); contains InterPro domain Protein of unknown function DUF618 (InterPro:IPR006903); contains InterPro domain Regulation of nuclear pre-mRNA protein (InterPro:IPR006569)
A_84_P791939	AT5G60810	similar to hypothetical Protein [Brassica oleracea] (GB:AAV25872.1)
A_84_P141979	AT5G65390	AGP7 (Arabinogalactan protein 7)
A_84_P57620	AT5G54650	Fh5 (FORMIN HOMOLOGY5); actin binding
A_84_P12705	AT3G20090	"CYP705A18 (cytochrome P450, family 705, subfamily A, polypeptide 18); oxygen binding"
A_84_P518792	AT1G51405	myosin-related
A_84_P753866	AT1G20132	"hydrolase, acting on ester bonds / lipase"
A_84_P20511	AT4G37450	AGP18 (Arabinogalactan protein 18)
A_84_P784826	AT1G61260	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G11220.1); similar to unknown [Populus trichocarpa] (GB:ABK92540.1); contains InterPro domain Protein of unknown function DUF761, plant (InterPro:IPR008480)"
A_84_P827605	AT4G34100	protein binding / zinc ion binding
A_84_P13413	AT1G65550	xanthine/uracil permease family protein
A_84_P809527	AT5G24430	"calcium-dependent protein kinase, putative / CDPK, putative"
A_84_P10430	AT1G61310	"disease resistance protein (CC-NBS-LRR class), putative"
A_84_P707595	AT5G52415	"pseudogene, hypothetical protein"
A_84_P752028	AT1G32570	unknown protein
A_84_P786637	AT4G16070	lipase class 3 family protein
A_84_P547332	AT2G30630	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G06750.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN76299.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO22658.1); contains domain SSF52540 (SSF52540); contains domain G3DSA:3.40.50.300 (G3DSA:3.40.50.300)
A_84_P854119	AT1G54580	ACP2 (ACYL CARRIER PROTEIN 2)
A_84_P788801	AT1G05620	inosine-uridine preferring nucleoside hydrolase family protein
A_84_P15358	AT2G16710	hesB-like domain-containing protein
A_84_P61280	AT4G03813	transposable element gene
A_84_P19008	AT1G15930	40S ribosomal protein S12 (RPS12A)
A_84_P135975	AT5G17620	similar to unnamed protein product [Vitis vinifera] (GB:CAO17833.1); contains InterPro domain Plant nuclear matrix 1 (InterPro:IPR010604)
A_84_P14868	AT5G01830	armadillo/beta-catenin repeat family protein / U-box domain-containing protein
A_84_P10331	AT5G65820	pentatricopeptide (PPR) repeat-containing protein
A_84_P300630	AT2G40110	yippee family protein
A_84_P24074	AT1G43680	similar to nucleic acid binding / zinc ion binding [Arabidopsis thaliana] (TAIR:AT5G36228.1)
A_84_P796385	AT3G27025	unknown protein
A_84_P226709	AT5G47420	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G17420.1); similar to hypothetical protein 31.t00054 [Brassica oleracea] (GB:ABD65092.1); contains InterPro domain Protein of unknown function DUF124 (InterPro:IPR002838); contains InterPro domain Tryptophan RNA-binding attenuator protein-like (InterPro:IPR016031)
A_84_P57030	AT2G04920	F-box family protein (FBX9)
A_84_P784688	AT3G19680	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G50040.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61535.1); contains InterPro domain Protein of unknown function DUF1005 (InterPro:IPR010410)
A_84_P15717	AT4G21810	DER2.1 (DERLIN-2.1)
A_84_P17200	AT1G16110	WAKL6 (WALL ASSOCIATED KINASE-LIKE 6); kinase
A_84_P299640	AT4G38490	similar to Os09g0450200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063325.1); similar to hypothetical protein OsI_030553 [Oryza sativa (indica cultivar-group)] (GB:EAZ09321.1)
A_84_P19968	AT1G63700	YDA (YODA); kinase
A_84_P17273	AT1G30010	"intron maturase, type II family protein"
A_84_P81009	AT1G19860	zinc finger (CCCH-type) family protein
A_84_P23332	AT4G32600	zinc finger (C3HC4-type RING finger) family protein
A_84_P15561	AT3G10950	60S ribosomal protein L37a (RPL37aB)
A_84_P501792	AT3G47020	F-box family protein
A_84_P816456	AT5G47730	"SEC14 cytosolic factor, putative / polyphosphoinositide-binding protein, putative"
A_84_P826977	AT5G11360	ATP binding / protein kinase
A_84_P17016	AT1G17650	phosphogluconate dehydrogenase (decarboxylating)
A_84_P824042	AT4G21090	adrenodoxin-like ferredoxin 1
A_84_P599061	AT3G24250	glycine-rich protein
A_84_P806483	AT1G29930;AT1G29920	"[AT1G29930, CAB1 (CHLOROPHYLL A/B BINDING PROTEIN 1); chlorophyll binding];[AT1G29920, CAB2 (Chlorophyll a/b-binding protein 2); chlorophyll binding]"
A_84_P13319	AT1G15300	transposable element gene
A_84_P20276	AT3G20990	transposable element gene
A_84_P841288	AT3G32110	transposable element gene
A_84_P765878	AT4G04957	"similar to DML1/ROS1 (REPRESSOR OF SILENCING1), DNA N-glycosylase/ DNA-(apurinic or apyrimidinic site) lyase/ protein binding [Arabidopsis thaliana] (TAIR:AT2G36490.1); similar to repressor of silencing 1 [Nicotiana tabacum] (GB:BAF52855.1); contains InterPro domain Region of unknown function DUF1985 (InterPro:IPR015410)"
A_84_P75374	AT2G26520	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G57500.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81423.1)
A_84_P854616	AT1G30040	ATGA2OX2; gibberellin 2-beta-dioxygenase
A_84_P833803	AT3G07690	glycerol-3-phosphate dehydrogenase (NAD+)
A_84_P15139	AT1G03870	FLA9
A_84_P102416	AT2G42610	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G07090.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN66524.1); contains InterPro domain Protein of unknown function DUF640 (InterPro:IPR006936)
A_84_P17655	AT4G32250	protein kinase family protein
A_84_P790327	AT2G21090	pentatricopeptide (PPR) repeat-containing protein
A_84_P16224	AT1G80600	"acetylornithine aminotransferase, mitochondrial, putative / acetylornithine transaminase, putative / AOTA, putative / ACOAT, putative"
A_84_P51680	AT2G36370	ubiquitin-protein ligase
A_84_P842422	AT5G42620	metalloendopeptidase/ zinc ion binding
A_84_P10358	AT5G19620	OEP80 (ARABIDOPSIS THALIANA OUTER ENVELOPE PROTEIN OF 80 KDA)
A_84_P766052	AT5G14030	translocon-associated protein beta (TRAPB) family protein
A_84_P535510	AT3G53680	"PHD finger transcription factor, putative"
A_84_P548594	AT5G05840	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55720.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69043.1); contains InterPro domain Protein of unknown function DUF620 (InterPro:IPR006873)
A_84_P193084	AT5G10110	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65120.1); similar to 52O08_25 [Brassica rapa subsp. pekinensis] (GB:AAZ67571.1)
A_84_P23733	AT1G80050	APT2 (ADENINE PHOSPHORIBOSYL TRANSFERASE 2); adenine phosphoribosyltransferase
A_84_P830147	AT4G33240	1-phosphatidylinositol-4-phosphate 5-kinase/ zinc ion binding
A_84_P22682	AT3G06483	PDK (PYRUVATE DEHYDROGENASE KINASE); ATP binding / pyruvate dehydrogenase (acetyl-transferring) kinase
A_84_P54250	AT1G19960	similar to transmembrane receptor [Arabidopsis thaliana] (TAIR:AT2G32140.1)
A_84_P575921	AT3G52250	DNA binding / transcription factor
A_84_P791989	AT1G47317	Encodes a defensin-like (DEFL) family protein.
A_84_P22178	AT3G27150	kelch repeat-containing F-box family protein
A_84_P702975	AT2G47390	serine-type endopeptidase/ serine-type peptidase
A_84_P13355	AT1G50020	similar to unnamed protein product [Vitis vinifera] (GB:CAO49863.1)
A_84_P17674	AT1G27130	ATGSTU13 (GLUTATHIONE S-TRANSFERASE 12); glutathione transferase
A_84_P580314	AT3G22235	unknown protein
A_84_P841967	AT5G38317	LCR58 (Low-molecular-weight cysteine-rich 58)
A_84_P21835	AT1G49400	EMB1129 (EMBRYO DEFECTIVE 1129); structural constituent of ribosome
A_84_P765901	AT4G04221;AT4G04220	"[AT4G04221, other RNA];[AT4G04220, disease resistance family protein]"
A_84_P846379	AT2G37000	"TCP family transcription factor, putative"
A_84_P850758	AT5G48880	"KAT5/PKT1/PKT2 (PEROXISOMAL 3-KETO-ACYL-COA THIOLASE 1, PEROXISOMAL 3-KETO-ACYL-COA THIOLASE 2); acetyl-CoA C-acyltransferase"
A_84_P188664	AT1G09020	SNF4 (Sucrose NonFermenting 4)
A_84_P53420	AT4G10030;AT4G10020	"[AT4G10030, hydrolase, alpha/beta fold family protein];[AT4G10020, ATHSD5 (HYDROXYSTEROID DEHYDROGENASE 5); oxidoreductase]"
A_84_P286740	AT4G03200	catalytic
A_84_P19163	AT2G43050	ATPMEPCRD; pectinesterase
A_84_P606732	AT1G42580	transposable element gene
A_84_P159455	AT1G12620	pentatricopeptide (PPR) repeat-containing protein
A_84_P17961	AT1G02350	protoporphyrinogen oxidase-related
A_84_P18766	AT5G46550	DNA-binding bromodomain-containing protein
A_84_P15082	AT5G13180	ANAC083 (Arabidopsis NAC domain containing protein 83); transcription factor
A_84_P784166	AT5G45340	"CYP707A3 (cytochrome P450, family 707, subfamily A, polypeptide 3); oxygen binding"
A_84_P202538	AT5G22550	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G22560.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75021.1); contains InterPro domain Protein of unknown function DUF247, plant (InterPro:IPR004158)"
A_84_P21097	AT1G67820	"protein phosphatase 2C, putative / PP2C, putative"
A_84_P11075	AT4G16140	proline-rich family protein
A_84_P525206	AT2G42820	HVA22F (HVA22-LIKE PROTEIN F)
A_84_P71084	AT4G04780	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G15690.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ71436.1); contains domain PD201143 (PD201143); contains domain PTHR13381 (PTHR13381)
A_84_P189774	AT1G53300	TTL1 (TETRATRICOPETIDE-REPEAT THIOREDOXIN-LIKE 1); binding
A_84_P832827	AT2G39580	binding
A_84_P766927	AT5G28886	transposable element gene
A_84_P81269	AT4G31080	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G24330.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66718.1); contains domain PTHR22166:SF1 (PTHR22166:SF1); contains domain PTHR22166 (PTHR22166)
A_84_P16505	AT3G20010	SNF2 domain-containing protein / helicase domain-containing protein / RING finger domain-containing protein
A_84_P545675	AT3G14840	leucine-rich repeat family protein / protein kinase family protein
A_84_P68354	AT1G61930	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G11700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO17934.1); contains InterPro domain Protein of unknown function DUF584 (InterPro:IPR007608)
A_84_P585037	AT5G04010	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G03920.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23344.1); contains domain SSF81383 (SSF81383)
A_84_P758038	AT2G18938	unknown protein
A_84_P536936	AT4G01985	contains InterPro domain Eggshell protein (InterPro:IPR002952)
A_84_P551568	AT1G47570	zinc finger (C3HC4-type RING finger) family protein
A_84_P851117	AT4G31810	enoyl-CoA hydratase/isomerase family protein
A_84_P825312	AT5G41350	zinc finger (C3HC4-type RING finger) family protein
A_84_P20622	AT5G36260	aspartyl protease family protein
A_84_P23763	AT1G66850	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
A_84_P826900	AT4G24200	DNA binding / protein binding / transcription regulator
A_84_P23119	AT1G59680	EDA1 (embryo sac development arrest 1)
A_84_P15010	AT5G54260	MRE11 (MEIOTIC RECOMBINATION 11); protein serine/threonine phosphatase
A_84_P768762	AT5G43725	other RNA
A_84_P824585	AT5G37370	ATSRL1; binding
A_84_P834868	AT1G79350	EMB1135 (EMBRYO DEFECTIVE 1135); DNA binding
A_84_P554350	AT2G05290	transposable element gene
A_84_P196304	AT1G29350	similar to kinase-related [Arabidopsis thaliana] (TAIR:AT1G29370.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66902.1); contains InterPro domain Protein of unknown function DUF1296 (InterPro:IPR009719)
