Array Element,Annotation
246776_at,pseudogene of kinesin motor protein-related
248302_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27920.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69376.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN64668.1); contains InterPro domain Bet v I allergen; (InterPro:IPR000916)
252482_at,UDP-glucoronosyl/UDP-glucosyl transferase family protein
246172_s_at,[AT3G61510_ ACS1 (ACC SYNTHASE 1); 1-aminocyclopropane-1-carboxylate synthase];[AT5G28360_ ACS3 (1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE LIKE PSEUDOGENE); 1-aminocyclopropane-1-carboxylate synthase]
246136_at,transporter
252540_at,hydrolase family protein / HAD-superfamily protein
255098_at,no_match
259470_at,inter-alpha-trypsin inhibitor heavy chain-related
265882_at,copper amine oxidase_ putative
265440_at,pEARLI4
261669_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G39890.1); similar to Putative Expressed protein [Brassica oleracea] (GB:AAW81740.1); contains InterPro domain Protein of unknown function DUF1637 (InterPro:IPR012864)
245009_at,Chloroplast encoded ribosomal protein S4
261887_at,CCR4-NOT transcription complex protein_ putative
258822_s_at,[AT3G07220_ transcriptional activator_ putative];[AT3G07260_ forkhead-associated domain-containing protein / FHA domain-containing protein]
257562_at,transposable element gene
254548_at,kelch repeat-containing F-box family protein
252180_at,ICK2/KRP2 (KIP-RELATED PROTEIN 2); cyclin-dependent protein kinase inhibitor/ kinase inhibitor/ protein binding
246922_at,CIPK25 (CBL-INTERACTING PROTEIN KINASE 25); kinase
261303_at,HON5 (HIGH MOBILITY GROUP FAMILY A 5); DNA binding
253642_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO15556.1)
246854_at,mitochondrial substrate carrier family protein
258710_s_at,[AT4G08520_ clathrin adaptor complex small chain family protein];[AT3G09800_ clathrin adaptor complex small chain family protein]
257533_at,hydrolase_ alpha/beta fold family protein
250033_at,NCBP (NOVEL CAP-BINDING PROTEIN); RNA binding / translation initiation factor
261683_at,F-box family protein
266088_at,DC1 domain-containing protein
260058_at,F-box family protein
251933_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G37960.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G37960.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO15756.1)
256412_at,no_match
267483_at,ATUTR1/UTR1 (UDP-GALACTOSE TRANSPORTER 1); UDP-galactose transmembrane transporter/ UDP-glucose transmembrane transporter/ pyrimidine nucleotide sugar transmembrane transporter
266111_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G14590.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO46707.1); contains domain REGULATORY PROTEIN (PTHR10483:SF6); contains domain PENTATRICOPEPTIDE REPEAT-CONTAINING PROTEIN (PTHR10483)
248194_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27580.1)
265578_at,ethylene-responsive family protein
262584_at,transducin family protein / WD-40 repeat family protein
250608_at,pectinesterase family protein
253805_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO69726.1)
245044_at,cytochrome b6f complex subunit (petM)_ putative
264598_at,flavin-containing monooxygenase / FMO (YUCCA3)
259594_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO68697.1)
264112_at,CALS5 (CALLOSE SYNTHASE 5); 1_3-beta-glucan synthase
251521_at,ACR4 (ARABIDOPSIS CRINKLY4); kinase
247961_at,Identical to F-box/FBD/LRR-repeat protein At5g56570 [Arabidopsis Thaliana] (GB:Q9FJV1;GB:Q45GE5); similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT5G56560.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74740.1); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
260744_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G01300.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42242.1)
264517_at,DNA binding / transcription factor
262634_at,aldo/keto reductase family protein
249927_at,ADG2 (ADPG PYROPHOSPHORYLASE 2); glucose-1-phosphate adenylyltransferase
263375_s_at,[AT2G20530_ ATPHB6 (PROHIBITIN 6)];[AT4G28510_ ATPHB1 (PROHIBITIN 1)]
245455_at,disease resistance protein (TIR-NBS-LRR class)_ putative
249779_at,similar to triacylglycerol lipase [Arabidopsis thaliana] (TAIR:AT5G24200.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO69530.1); contains domain SSF53474 (SSF53474); contains domain G3DSA:3.40.50.1820 (G3DSA:3.40.50.1820)
267105_at,no_match
251279_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO14384.1); contains InterPro domain ENTH/VHS (InterPro:IPR008942)
252342_at,glycoside hydrolase family 28 protein / polygalacturonase (pectinase) family protein
248900_at,AT PRP39-2
250381_at,exostosin family protein
252515_at,ATHSP17.4 (Arabidopsis thaliana heat shock protein 17.4)
249366_at,glycerol-3-phosphate dehydrogenase (NAD+) / GPDH
261249_at,zinc ion binding
255961_at,ATUGT85A7 (UDP-GLUCOSYL TRANSFERASE 85A7); UDP-glycosyltransferase/ glucuronosyltransferase/ transferase_ transferring glycosyl groups
253085_s_at,ATP-binding region_ ATPase-like domain-containing protein
264856_at,HMG2 (3-HYDROXY-3-METHYLGLUTARYL-COA REDUCTASE 2)
258941_at,ATMDAR3/MDHAR (MONODEHYDROASCORBATE REDUCTASE); monodehydroascorbate reductase (NADH)
254352_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G55210.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23253.1)
259444_at,pentatricopeptide (PPR) repeat-containing protein
246403_at,carboxylesterase
263637_at,adenylate cyclase
261710_at,electron carrier/ iron-sulfur cluster binding
256011_at,respiratory burst oxidase protein E (RbohE) / NADPH oxidase
260410_at,proton-dependent oligopeptide transport (POT) family protein
247084_at,ANAC105/VND3 (VASCULAR-RELATED NAC-DOMAIN 3); transcription factor
264016_at,auxin-responsive protein_ putative
257141_at,60S ribosomal protein L34 (RPL34C)
265078_at,ECT4
261663_at,EPR1 (EARLY-PHYTOCHROME-RESPONSIVE1); DNA binding / transcription factor
253751_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO16862.1); contains InterPro domain Phospholipase A2 (InterPro:IPR016090)
264732_at,pseudogene_ serpin (serine protease inhibitor)_ putative_ similar to protein zx (Hordeum vulgare subsp. vulgare) GI:19071_ serpin (Hordeum vulgare subsp. vulgare) CAA64599.1  GI:1197577; contains Pfam profile PF00079: Serpin (serine protease inhibitor); blastp match of 53% identity and 4.6e-51 P-value to GP|26224736|gb|AAN76362.1||AY158152 serpin-like protein {Citrus x paradisi}
250583_at,PEI1; nucleic acid binding / transcription factor
245397_at,IAA1 (INDOLE-3-ACETIC ACID INDUCIBLE); transcription factor
249451_s_at,[AT5G39490_ F-box family protein];[AT5G39480_ F-box family protein]
247658_at,ADF3 (ACTIN DEPOLYMERIZING FACTOR 3); actin binding
262795_at,glycosyl hydrolase family 5 protein / cellulase family protein
263495_at,COR15B
262047_at,lactoylglutathione lyase family protein / glyoxalase I family protein
259915_at,hydroxyproline-rich glycoprotein family protein
249665_at,ankyrin repeat family protein
266822_at,60S ribosomal protein L24_ putative
262285_at,similar to unknown [Populus trichocarpa] (GB:ABK93653.1)
261354_at,ATNUDT3 (Arabidopsis thaliana Nudix hydrolase homolog 3); hydrolase
248983_at,RHA1
248599_at,hydrogen ion transporting ATP synthase_ rotational mechanism / hydrogen ion transporting ATPase_ rotational mechanism
246451_at,inositol 1_3_4-trisphosphate 5/6-kinase
246213_at,ATLCB1 (LONG-CHAIN BASE1); protein binding / serine C-palmitoyltransferase
245720_at,RNA recognition motif (RRM)-containing protein
263527_at,pathogenesis-related thaumatin family protein
262290_at,hydroxyproline-rich glycoprotein family protein
259029_at,oxysterol-binding family protein
246482_at,PAM1 (PLANT ADHESION MOLECULE 1); RAB GTPase activator
253621_at,glutamine amidotransferase class-I domain-containing protein
251953_at,[AT3G53668_ CPuORF51 (Conserved peptide upstream open reading frame 51)];[AT3G53670_ similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G37480.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN77855.1)]
249878_at,TATA-binding protein-associated phosphoprotein Dr1 protein_ putative (DR1)
248498_at,pentatricopeptide (PPR) repeat-containing protein
245018_at,Encodes a protein required for photosystem I assembly and stability. In cyanobacteria_ loss of function mutation in this gene increases PSII/PSI ratio without any influence on photoautotrophic growth.
255118_at,nitrilase_ putative
262660_at,protein kinase family protein / ankyrin repeat family protein
252562_s_at,[AT3G46320_ histone H4];[AT3G45930_ histone H4]
263044_at,UbiE/COQ5 methyltransferase family protein
258916_at,ATNAP7 (Arabidopsis thaliana non-intrinsic ABC protein 7)
263694_at,[AT3G60565_ transposable element gene];[AT1G31210_ transposable element gene]
262381_at,disease resistance protein (TIR-NBS class)_ putative
247350_at,zinc finger (HIT type) family protein
265299_at,transposable element gene
253078_at,leucine-rich repeat family protein
265406_at,transposable element gene
259254_at,ADT2 (AROGENATE DEHYDRATASE 2); arogenate dehydratase/ prephenate dehydratase
267597_at,leucine-rich repeat family protein
257633_at,CYP86C2 (cytochrome P450_ family 86_ subfamily C_ polypeptide 2); oxygen binding
250969_at,nucleotide binding
253646_at,ATMKK2 (MAP KINASE KINASE 2); MAP kinase kinase/ kinase
259673_at,PHD finger family protein
254727_at,PTAC5 (PLASTID TRANSCRIPTIONALLY ACTIVE5); heat shock protein binding / unfolded protein binding
259758_s_at,[AT1G77530_ O-methyltransferase family 2 protein];[AT1G77520_ O-methyltransferase family 2 protein]
260135_at,calmodulin-related protein_ putative
247733_at,DNAJ heat shock N-terminal domain-containing protein
264283_at,patatin family protein
254636_at,CIPK12 (SNF1-RELATED PROTEIN KINASE 3.9); kinase
260422_at,F-box family protein
248675_at,ICK6/KRP3 (KIP-RELATED PROTEIN 3); cyclin binding / cyclin-dependent protein kinase inhibitor
263932_at,similar to carboxy-lyase [Arabidopsis thaliana] (TAIR:AT5G06300.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67407.1); contains InterPro domain Conserved hypothetical protein CHP00730 (InterPro:IPR005269)
248343_at,AtMYB19 (myb domain protein 19); DNA binding / transcription factor
266501_at,HEN2 (HUA ENHANCER 2); ATP-dependent helicase
247123_at,similar to wound-responsive family protein [Arabidopsis thaliana] (TAIR:AT1G19660.2); similar to wound-responsive family protein [Arabidopsis thaliana] (TAIR:AT1G19660.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO24574.1); contains InterPro domain Protein of unknown function DUF151 (InterPro:IPR003729)
264570_at,thiF family protein
256731_at,nodulin MtN21 family protein
251601_at,basic helix-loop-helix (bHLH) family protein
247638_at,FLA12 (fasciclin-like arabinogalactan-protein 12)
257034_at,DNA binding
263158_at,CCAAT-binding transcription factor (CBF-B/ NF-YA) family protein
247022_at,lipase class 3 family protein
254189_at,ATCSLG2 (Cellulose synthase-like G2); transferase/ transferase_ transferring glycosyl groups
247371_at,HDA6 (HISTONE DEACETYLASE 6); histone deacetylase
263205_at,ATSYTE/ NTMC2T2.1/ NTMC2TYPE2.1/ SYTE
266146_at,no_match
261832_at,protein binding / zinc ion binding
250911_at,CTR1 (CONSTITUTIVE TRIPLE RESPONSE 1); kinase/ protein serine/ Threonine/ Tyrosine kinase
261828_at,universal stress protein (USP) family protein
260601_at,ZIP11 (ZINC TRANSPORTER 11 PRECURSOR); cation transmembrane transporter/ metal ion transmembrane transporter
261095_at,binding
251197_at,glutaredoxin family protein
258531_at,AT-IMP (Arabidopsis thaliana importin alpha); protein transporter
261422_at,similar to unknown [Populus trichocarpa] (GB:ABK95263.1)
254866_at,similar to zinc finger (C3HC4-type RING finger) family protein [Arabidopsis thaliana] (TAIR:AT4G12210.1)
245289_at,Identical to Protein FBL4 (FBL4) [Arabidopsis Thaliana] (GB:Q94A20;GB:O23399;GB:Q940C4); similar to glutamate binding / [Arabidopsis thaliana] (TAIR:AT1G03070.1); similar to unknown [Populus trichocarpa] (GB:ABK94990.1); contains InterPro domain Protein of unknown function UPF0005 (InterPro:IPR006214)
248246_at,TRY (TRIPTYCHON); DNA binding / transcription factor
249091_at,ATCLH2 (Chlorophyll-chlorophyllido hydrolase 2)
257377_at,PLL4 (POLTERGEIST LIKE 4); protein serine/ Threonine phosphatase
255490_at,WD-40 repeat family protein / beige-related
261791_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G79660.1); similar to Os08g0266200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061402.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO23158.1)
253099_s_at,[AT4G37530_ peroxidase_ putative];[AT4G37520_ peroxidase 50 (PER50) (P50) (PRXR2)]
250139_at,DRM2 (DOMAINS REARRANGED METHYLTRANSFERASE 2)
245451_at,SNC1 (SUPPRESSOR OF NPR1-1_ CONSTITUTIVE 1)
248918_at,SAG12 (SENESCENCE-ASSOCIATED GENE 12); cysteine-type peptidase
267572_at,3-hydroxyisobutyryl-coenzyme A hydrolase_ putative / CoA-thioester hydrolase_ putative
251873_at,nucleic acid binding
246713_at,mRNA capping enzyme family protein
245177_at,annexin_ putative
258128_at,signal peptidase I family protein
253341_at,signal peptide peptidase family protein
253090_at,BGAL3 (beta-galactosidase 3); beta-galactosidase
253467_at,similar to membrane protein [Arabidopsis thaliana] (TAIR:AT3G07080.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN72310.1); contains InterPro domain Protein of unknown function DUF6_ transmembrane; (InterPro:IPR000620)
257994_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G64230.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44392.1)
261117_at,AUL1 (auxin-like 1 protein); heat shock protein binding
250497_at,protein binding / zinc ion binding
260673_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G75060.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO61216.1)
248822_at,peroxidase_ putative
247566_at,40S ribosomal protein S19 (RPS19C)
255596_at,WRKY47 (WRKY DNA-binding protein 47); transcription factor
266039_s_at,[AT2G07739_ Identical to Uncharacterized mitochondrial protein AtMg00370  [Arabidopsis Thaliana] (GB:P93296;GB:Q8S8J2); similar to hypothetical protein DrneCp080 [Draba nemorosa] (GB:YP_001123609.1); similar to hypothetical protein LomaCp069 [Lobularia maritima] (GB:YP_001123773.1); similar to hypothetical protein LeviCp070 [Lepidium virginicum] (GB:YP_001123685.1); contains InterPro domain Ycf1 (InterPro:IPR008896)];[ATMG00370_ hypothetical protein]
248829_at,Bax inhibitor-1 family / BI-1 family
253086_at,unknown protein
250057_at,chaperone protein dnaJ-related
257546_s_at,[AT5G02700_ F-box family protein];[AT3G28410_ F-box family protein]
248831_at,YDG/ SRA domain-containing protein
266357_at,BAM6/BMY5 (BETA-AMYLASE 6); beta-amylase
247246_at,C/VIF2 (CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 2); pectinesterase inhibitor
259571_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO61996.1); contains domain UNCHARACTERIZED (PTHR21568); contains domain Pseudouridine synthase (SSF55120)
248428_at,AHG1 (ABA-HYPERSENSITIVE GERMINATION 1); protein serine/ Threonine phosphatase
258821_at,wound-responsive protein-related
267068_at,WW domain-containing protein
251430_at,DNA-binding bromodomain-containing protein
264606_at,glycine-rich protein
258083_at,metal ion binding
265552_at,AHA6 (ARABIDOPSIS H(+)-ATPASE 6); ATPase
251948_at,diaminopimelate epimerase family protein
259270_at,porin_ putative
260640_at,disease resistance protein (CC-NBS-LRR class)_ putative
267577_at,RabGAP/ TBC domain-containing protein
257322_at,hypothetical protein
259926_at,methyladenine glycosylase family protein
248071_at,RNA recognition motif (RRM)-containing protein
261583_at,PDH-E1 ALPHA (PYRUVATE DEHYDROGENASE E1 ALPHA); pyruvate dehydrogenase (acetyl-transferring)
255960_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO61756.1); contains domain PTHR12681 (PTHR12681)
254790_at,PSAL (photosystem I subunit L)
267356_at,ATISA1/ISA1 (ISOAMYLASE 1); alpha-amylase/ isoamylase
251488_at,calcium-binding protein_ putative
265740_at,RHA2B (RING-H2 FINGER PROTEIN 2B); protein binding / zinc ion binding
266175_at,ANAC034/ANAC035 (Arabidopsis NAC domain containing protein 34_ Arabidopsis NAC domain containing protein 35); transcription factor
256012_at,FMO1 (FLAVIN-DEPENDENT MONOOXYGENASE 1); monooxygenase
246812_at,[AT4G07523_ transposable element gene];[AT1G43205_ transposable element gene];[AT5G27180_ transposable element gene]
267631_at,DNA-binding bromodomain-containing protein
250757_at,ATDFB (A. THALIANA DHFS-FPGS HOMOLOG B); tetrahydrofolylpolyglutamate synthase
249090_at,phosphotransferase-related
